Library:	Twist0pc L2201383	Twist01pc L2201384	Twist025pc L2201385	Twist05pc L2201297	Twist05pc L2201386	Twist05pc L2201387	Twist1pc L2201388	Twist2pc L2201389	Twist5pc L2201390
Pct Exon 1000X	79.00%	91.00%	74.60%	28.30%	75.40%	74.70%	74.60%	90.20%	93.30%
RefSnvs:	227	227	227	227	227	227	227	227	227
RefIndels:	222	222	222	222	222	222	222	222	222
IncRefSnvs:	226	226	226	226	226	226	226	226	226
IncRefIndels:	219	219	219	219	219	219	219	219	219
TotalPassVariants:	1812	2293	1799	1515	1943	1910	2020	2531	2915
SnvTP:	0	11	45	47	114	106	187	223	224
SnvFN:	226	215	181	179	112	120	39	3	2
IndelTP:	0	11	32	45	104	115	158	210	211
IndelFN:	219	208	187	174	115	104	61	9	8
unfiltered SnvTP:	37	169	195	166	223	220	222	225	226
unfiltered SnvFN:	189	57	31	60	3	6	4	1	0
unfiltered IndelTP:	18	147	162	129	203	204	207	217	218
unfiltered IndelFN:	201	72	57	90	16	15	12	2	1
DetectableRefSnvs	225	225	225	225	225	225	225	225	225
DetectableRefIndels	213	213	213	213	213	213	213	213	213
pcSnvTP	0.00%	4.89%	20.00%	20.89%	50.67%	47.11%	83.11%	99.11%	99.56%
pcIndelTP	0.00%	5.16%	15.02%	21.13%	48.83%	53.99%	74.18%	98.59%	99.06%
pcFilteredSnv	16.00%	69.78%	66.22%	52.44%	48.00%	50.22%	15.11%	0.44%	0.44%
pcFilteredIndel	5.63%	61.03%	58.22%	36.62%	43.66%	38.97%	20.19%	0.47%	0.47%
Percentage SAF	0.00%	0.10%	0.25%	0.50%	0.50%	0.50%	1.00%	2.00%	5.00%
